Timestamp,Value,Confidence,Snapshot,Status
2026-09-14 10:37:21.098,0.003,74.6%,snap_20260914_103721_098_0_003.jpg,OK
2026-09-14 10:47:03.299,0.001,64.7%,snap_20260914_104703_299_0_001.jpg,OK
2026-09-14 11:08:53.652,0.001,71.2%,snap_20260914_110853_652_0_001.jpg,OK
2026-09-14 11:16:10.549,0.001,70.4%,snap_20260914_111610_549_0_001.jpg,OK
2026-09-14 11:21:01.384,0.001,70.6%,snap_20260914_112101_384_0_001.jpg,OK
2026-09-14 11:24:39.959,0.002,80.1%,snap_20260914_112439_959_0_002.jpg,OK
2026-09-14 11:44:04.257,0.001,68.5%,snap_20260914_114404_257_0_001.jpg,OK
